Temperature,Depth Of Cut,Feed Rate,Lenght Of Cut,Load X,Load Y
0.05156481809261978,0.2,0.2,0.8333333333333333,0.5991174782568449,0.6717566824663171
0.05178568485441976,0.2,0.2,0.8333333333333333,0.7686929288930681,0.7387240221675501
0.05181925755235942,0.2,0.2,0.8333333333333333,0.8910446461800907,0.13850824182769916
0.05182881143642194,0.2,0.2,0.8333333333333333,0.9622452465390507,0.014604706223427915
0.05194503321101814,0.2,0.2,0.8333333333333333,1.0,0.14127966296484248
0.052114256517521725,0.2,0.2,0.8333333333333333,0.10093758322032677,0.14005603550970663
0.052009095852749494,0.2,0.2,0.8333333333333333,0.11247940451812537,0.18732027179802846
0.05222016619091068,0.2,0.2,0.8333333333333333,0.11443208120827869,0.1853732734107068
0.05229960758197232,0.2,0.2,0.8333333333333333,0.12667085787856278,0.23128281503487985
0.05247771922073852,0.2,0.2,0.8333333333333333,0.13005649884749015,0.24204533386962745
0.052617309991668505,0.2,0.2,0.8333333333333333,0.1392050394840239,0.030226716922112436
0.05277216661682555,0.2,0.2,0.8333333333333333,0.1411607202921621,0.2880619303897118
0.05320696822157012,0.2,0.2,0.8333333333333333,9.23065319478635e-05,0.2674333524093431
0.0537334303539784,0.2,0.2,0.8333333333333333,0.14311539972763865,0.026496804286996776
0.05415603761988923,0.2,0.2,0.8333333333333333,0.14478969481786244,0.2679786320193586
0.053945246872940625,0.2,0.2,0.8333333333333333,0.15021112640785736,0.306912596687516
0.05451058052233037,0.2,0.2,0.8333333333333333,0.15179029109522751,0.31201521322160664
0.054277323142284686,0.2,0.2,0.8333333333333333,0.1628344301802024,0.37273735049033097
0.05464172040233216,0.2,0.2,0.8333333333333333,0.16592867170459924,0.3990058205104387
0.05481527969288997,0.2,0.2,0.8333333333333333,0.16690300730435267,0.37820815582531286
0.05547594937776437,0.2,0.2,0.8333333333333333,0.16773114249551,0.03598166796212994
0.056028983914123746,0.2,0.2,0.8333333333333333,0.17200500101529176,0.37958085972428784
0.05661329924006208,0.2,0.2,0.8333333333333333,0.0001246708963713279,0.39087365047336253
0.057127685076814545,0.2,0.2,0.8333333333333333,0.17607558088476521,0.40744614856565214
0.05754833665439913,0.2,0.2,0.8333333333333333,0.1780432781648428,0.4365700828187588
0.05778923334227065,0.2,0.2,0.8333333333333333,0.17905266180775284,0.44968880987660126
0.058219695627588636,0.2,0.2,0.8333333333333333,0.00013011836365052487,0.46037228818072273
0.05812096838852174,0.2,0.2,0.8333333333333333,0.18279679418953915,0.4833440677145896
0.05827684367989917,0.2,0.2,0.8333333333333333,0.1960059009689302,0.5658313657838253
0.058516216465147486,0.2,0.2,0.8333333333333333,0.19912117131922097,0.5923399589349491
0.05875906217060057,0.2,0.2,0.8333333333333333,0.1949794939907727,0.047305474615627535
0.06055593492974926,0.2,0.2,0.8333333333333333,0.19897196679264,0.5112243642516424
0.060852509495806166,0.2,0.2,0.8333333333333333,0.20111890977914706,0.541361818220246
0.061067910307406416,0.2,0.2,0.8333333333333333,0.20326184727500765,0.5766269015490876
0.061333049931675376,0.2,0.2,0.8333333333333333,0.00015381084082438526,0.5857865984843033
0.06111797866936485,0.2,0.2,0.8333333333333333,0.20944832757847803,0.6595434197150144
0.06156973571195577,0.2,0.2,0.8333333333333333,0.21187966040088432,0.06881650510248018
0.06191026374232515,0.2,0.2,0.8333333333333333,0.2133316507602291,0.7059802317143767
0.06228458054475596,0.2,0.2,0.8333333333333333,0.2150419952662711,0.7207578094023216
0.06264189637425707,0.2,0.2,0.8333333333333333,0.21554268159707965,0.7322096817256945
0.06302160705384165,0.2,0.2,0.8333333333333333,0.21620559029907016,0.7448881830433408
