Depth Of Cut,Feed Rate,Lenght Of Cut,Load X,Load Y
0.2,0.2,1.5,316037.0,148901.0
0.2,0.2,1.5,316718.0,150039.0
0.2,0.2,1.5,317282.0,151524.0
0.2,0.2,1.5,318069.0,152422.0
0.2,0.2,1.5,318662.0,153682.0
0.2,0.2,1.5,318536.0,154.66
0.2,0.2,1.5,319537.0,155768.0
0.2,0.2,1.5,320.36,156618.0
0.2,0.2,1.5,320921.0,157545.0
0.2,0.2,1.5,321254.0,158623.0
0.2,0.2,1.5,321289.0,159.69
0.2,0.2,1.5,321776.0,160514.0
0.2,0.2,1.5,322504.0,161224.0
0.2,0.2,1.5,322928.0,162374.0
0.2,0.2,1.5,323144.0,163086.0
0.2,0.2,1.5,323706.0,164241.0
0.2,0.2,1.5,324248.0,165006.0
0.2,0.2,1.5,324772.0,165883.0
0.2,0.2,1.5,324874.0,166471.0
0.2,0.2,1.5,325.58,167281.0
0.2,0.2,1.5,325928.0,167701.0
0.2,0.2,1.5,334.24,172293.0
0.2,0.2,1.5,316983.0,140592.0
0.2,0.2,1.5,321391.0,145837.0
0.2,0.2,1.5,325521.0,150373.0
0.2,0.2,1.5,327936.0,153616.0
0.2,0.2,1.5,328788.0,154.7
0.2,0.2,1.5,329361.0,155491.0
0.2,0.2,1.5,329.89,155807.0
0.2,0.2,1.5,330.04,156532.0
0.2,0.2,1.5,330324.0,156975.0
0.2,0.2,1.5,331042.0,157132.0
0.2,0.2,1.5,331401.0,157621.0
0.2,0.2,1.5,331817.0,157669.0
0.2,0.2,1.5,332099.0,158224.0
0.2,0.2,1.5,332493.0,158553.0
0.2,0.2,1.5,332883.0,158999.0
0.2,0.2,1.5,333268.0,159044.0
0.2,0.2,1.5,333633.0,159718.0
0.2,0.2,1.5,333891.0,160171.0
0.2,0.2,1.5,334.59,160188.0
0.2,0.2,1.5,334752.0,161071.0
0.2,0.2,1.5,335408.0,161081.0
0.2,0.2,1.5,335591.0,161707.0
0.2,0.2,1.5,336206.0,161829.0
0.2,0.2,1.5,336698.0,162338.0
0.2,0.2,1.5,336769.0,162926.0
0.2,0.2,1.5,337059.0,163406.0
0.2,0.2,1.5,337311.0,163878.0
0.2,0.2,1.5,337587.0,164098.0
0.2,0.2,1.5,337866.0,164369.0
0.2,0.2,1.5,338455.0,165095.0
0.2,0.2,1.5,338325.0,165042.0
0.2,0.2,1.5,338813.0,165323.0
0.2,0.2,1.5,339142.0,165677.0
0.2,0.2,1.5,339474.0,165922.0
0.2,0.2,1.5,339.83,166079.0
0.2,0.2,1.5,340051.0,166189.0
0.2,0.2,1.5,340246.0,166587.0
0.2,0.2,1.5,340655.0,166821.0
0.2,0.2,1.5,340769.0,166889.0
0.2,0.2,1.5,341022.0,166918.0
0.2,0.2,1.5,341224.0,167099.0
0.2,0.2,1.5,341.02,167089.0
0.2,0.2,1.5,341354.0,167279.0
0.2,0.2,1.5,341476.0,167415.0
0.2,0.2,1.5,341923.0,168273.0
0.2,0.2,1.5,342436.0,168.33
0.2,0.2,1.5,343.4,169573.0
0.2,0.2,1.5,344393.0,171057.0
0.2,0.2,1.5,345586.0,172765.0
0.2,0.2,1.5,346582.0,174288.0
0.2,0.2,1.5,347974.0,176217.0
0.2,0.2,1.5,348.94,177688.0
0.5,0.2,1.0,598346.0,671413.0
0.5,0.2,1.0,767689.0,738346.0
0.5,0.2,1.0,889873.0,138438.0
0.5,0.2,1.0,960976.0,14598.0
0.5,0.2,1.0,998679.0,141208.0
0.5,0.2,1.0,100849.0,139985.0
0.5,0.2,1.0,112375.0,187225.0
0.5,0.2,1.0,114325.0,185279.0
0.5,0.2,1.0,126547.0,231165.0
0.5,0.2,1.0,129928.0,241922.0
0.5,0.2,1.0,139064.0,30212.0
0.5,0.2,1.0,141017.0,287915.0
0.5,0.2,1.0,141.96,267297.0
0.5,0.2,1.0,142969.0,26484.0
0.5,0.2,1.0,144641.0,267842.0
0.5,0.2,1.0,150055.0,306756.0
0.5,0.2,1.0,151632.0,311856.0
0.5,0.2,1.0,162661.0,372547.0
0.5,0.2,1.0,165751.0,398802.0
0.5,0.2,1.0,166724.0,378015.0
0.5,0.2,1.0,167551.0,35964.0
0.5,0.2,1.0,171819.0,379387.0
0.5,0.2,1.0,174.28,390674.0
0.5,0.2,1.0,175884.0,407238.0
0.5,0.2,1.0,177849.0,436347.0
0.5,0.2,1.0,178857.0,449459.0
0.5,0.2,1.0,179.72,460137.0
0.5,0.2,1.0,182596.0,483097.0
0.5,0.2,1.0,195787.0,565542.0
0.5,0.2,1.0,198898.0,592037.0
0.5,0.2,1.0,194762.0,47282.0
0.5,0.2,1.0,198749.0,510963.0
0.5,0.2,1.0,200893.0,541085.0
0.5,0.2,1.0,203033.0,576332.0
0.5,0.2,1.0,203.38,585487.0
0.5,0.2,1.0,209211.0,659206.0
0.5,0.2,1.0,211639.0,68782.0
0.5,0.2,1.0,213089.0,705619.0
